is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,cluster
True,44484.0,4.53584,7815.0,186.0,0.0,455.0,8640.0,1
True,39537.0,4.44398,7693.0,305.0,2.0,455.0,8640.0,1
True,29095.0,4.42667,7641.0,87.0,0.0,488.0,9280.0,1
True,33408.0,4.44969,7448.0,35.0,0.0,455.0,1920.0,1
True,36326.0,4.3702,7362.0,88.0,0.0,455.0,8640.0,1
True,22106.0,4.42781,7246.0,38.0,0.0,455.0,8640.0,1
True,25057.0,4.56653,7186.0,221.99999999999997,1.0,455.0,8640.0,1
True,22558.0,4.54002,6797.0,68.0,0.0,455.0,8640.0,1
True,28717.0,4.44174,6623.0,68.0,0.0,455.0,8640.0,1
True,26929.0,4.50915,6471.000000000001,81.0,0.0,455.0,6400.0,1
True,12728.0,4.34038,6401.0,6.0,0.0,455.0,1280.0,1
True,16778.0,4.32706,6325.0,42.0,0.0,455.0,8640.0,1
True,37953.0,4.56706,6195.0,54.00000000000001,0.0,455.0,8640.0,1
True,17598.0,4.35379,6134.0,18.0,0.0,455.0,6400.0,1
True,25039.0,4.62258,6088.0,48.0,0.0,455.0,8640.0,1
True,15059.0,4.36463,6075.0,31.000000000000004,0.0,455.0,1280.0,1
True,36650.0,4.54274,5893.0,43.0,0.0,455.0,8640.0,1
True,26292.0,4.44952,5761.0,30.0,0.0,455.0,8640.0,1
True,25820.0,4.50586,5763.0,637.0,0.0,455.0,8640.0,1
True,25649.0,4.49939,5642.0,208.0,0.0,455.0,8640.0,1
True,15826.0,4.42925,5650.0,16.0,0.0,455.0,5760.0,1
True,42583.0,4.55896,5506.0,126.99999999999999,0.0,455.0,8640.0,1
True,11077.0,4.38087,5466.0,32.0,0.0,455.0,8640.0,1
True,21249.0,4.45997,5474.0,65.0,0.0,455.0,6400.0,1
True,11819.999999999998,4.40315,5435.0,39.0,0.0,455.0,7040.0,1
True,19352.0,4.38696,5350.0,43.0,0.0,455.0,8640.0,1
True,13395.999999999998,4.19608,5177.0,21.0,0.0,474.0,3200.0,1
True,23854.000000000004,3.97959,5148.0,88.0,0.0,455.0,8640.0,1
True,87181.0,4.54567,5018.0,122.0,0.0,455.0,8640.0,1
True,40950.0,4.46622,4959.999999999999,67.0,0.0,462.0,1280.0,1
True,16937.0,4.50258,4903.0,53.0,0.0,455.0,6400.0,1
True,28931.999999999996,4.42527,4881.000000000001,47.0,0.0,0.0,9600.0,1
True,35638.0,4.4038,4857.0,96.0,0.0,481.00000000000006,8960.0,1
True,22310.0,4.52025,4849.0,81.0,0.0,455.0,8640.0,1
True,18460.0,4.29765,4837.0,65.0,1.0,481.00000000000006,8960.0,1
True,25454.0,4.39505,4811.0,90.0,0.0,455.0,8640.0,1
True,21995.0,4.31962,4798.0,57.99999999999999,0.0,455.0,3200.0,1
True,14661.0,4.36619,4763.0,47.0,0.0,455.0,6400.0,1
True,15326.999999999998,4.37005,4733.0,31.000000000000004,0.0,455.0,3200.0,1
True,26377.0,4.35714,4619.0,26.0,0.0,2880.0,8640.0,1
True,17036.0,4.56581,4616.0,99.0,0.0,494.00000000000006,9280.0,1
True,27652.999999999996,4.40769,4579.0,345.0,0.0,0.0,12800.0,1
True,14692.0,4.43296,4554.0,49.0,0.0,455.0,8640.0,1
True,17167.0,4.37106,4508.0,83.0,0.0,455.0,8640.0,1
True,15562.0,4.52524,4466.0,125.0,0.0,1600.0,6400.0,1
True,13693.0,4.57537,4412.0,28.999999999999996,0.0,481.00000000000006,7680.0,1
True,24449.0,4.69697,4361.0,88.0,0.0,0.0,12800.0,1
True,16519.0,4.51699,4345.0,91.0,0.0,455.0,8640.0,1
True,18774.0,4.43962,4303.0,66.0,0.0,455.0,8640.0,1
True,25911.000000000004,4.48485,4297.0,257.0,0.0,455.0,8640.0,1
True,13088.0,4.39762,4290.0,57.0,0.0,455.0,8640.0,1
True,26338.0,4.5025,4240.0,75.0,0.0,488.0,8640.0,1
True,17983.0,4.46687,4166.0,45.0,0.0,455.0,8640.0,1
True,26047.0,4.27826,4163.0,301.0,0.0,0.0,12800.0,1
True,9995.0,4.38218,4132.0,18.0,0.0,455.0,2880.0,1
True,22578.0,4.55337,4073.0,85.0,0.0,455.0,8640.0,1
True,27967.999999999996,4.33932,3914.0,71.0,0.0,494.00000000000006,8640.0,1
True,17839.0,4.39702,3869.0,31.000000000000004,0.0,455.0,7680.0,1
True,10964.0,4.52812,3868.0,24.0,0.0,455.0,6400.0,1
True,6978.0,4.32603,3855.0,11.0,0.0,455.0,1920.0,1
True,9245.0,4.32892,3846.0,11.0,0.0,455.0,4800.0,1
True,12904.0,4.43758,3845.0,76.0,0.0,455.0,4480.0,1
True,13754.000000000002,4.48388,3823.9999999999995,81.0,0.0,455.0,8640.0,1
True,15445.000000000002,4.49911,3754.0,398.0,0.0,455.0,8640.0,1
True,17226.0,4.52144,3742.0,35.0,0.0,455.0,8640.0,1
True,12864.0,4.54621,3672.0,37.0,0.0,455.0,8640.0,1
True,16218.0,4.39599,3665.0,87.0,0.0,455.0,8640.0,1
True,20258.0,4.39798,3668.0,40.0,0.0,462.0,2880.0,1
True,12506.0,4.36449,3657.0,57.0,0.0,455.0,5440.0,1
True,16016.0,4.53636,3641.9999999999995,114.0,0.0,455.0,8640.0,1
True,23044.0,4.44862,3626.0,37.0,0.0,455.0,8640.0,1
True,21310.0,4.506,3587.0,56.0,0.0,455.0,6400.0,1
True,28811.000000000004,4.65399,3586.0,45.0,0.0,455.0,8640.0,1
True,6153.0,4.4007,3589.0,23.000000000000004,0.0,455.0,3200.0,1
True,77373.0,4.60651,3576.0000000000005,62.00000000000001,0.0,455.0,8640.0,1
True,13819.0,4.41452,3563.0,35.0,0.0,455.0,5440.0,1
